Customer Account ID,Site ID,Modem Serial Number,Model,Connection Speed (Mbps),Uptime (days),Signal Strength (dBm),Packet Loss (%),Error Rate (%),SNR (Signal-to-Noise Ratio),RSSI (Received Signal Strength Indicator),Modulation Type,Error Type,Error Count,Temperature (°C),Power Level (dBm),Last Checkup Date,Failure Date,Next Predicted Failure (days)
ACC-72744,SITE-2479,772093d9,Arris TG2492,1193.65,268,-47.1,2.6,3.27,28.11,-115.5,QAM64,CRC Errors,105,57.5,7.89,2023-02-03,2024-01-08,339
ACC-17686,SITE-3784,5bbca34d,Technicolor CGM4231,909.35,128,-87.9,4.74,2.41,49.99,-59.78,QAM64,CRC Errors,465,77.9,8.71,2020-01-09,2020-04-22,104
ACC-75417,SITE-4788,e12578d9,Motorola MB7621,303.6,200,-70.1,1.69,3.82,26.41,-90.0,QAM64,Overheating,400,67.8,4.71,2021-11-16,2022-11-15,364
ACC-28347,SITE-3456,0cde6c93,Netgear CM500,1089.69,241,-50.1,7.14,2.11,41.27,-88.09,QPSK,Packet Drops,11,31.4,3.4,2023-02-18,2023-12-16,301
ACC-51777,SITE-5764,c3b6e2c5,Netgear CM500,924.68,284,-75.0,4.9,0.08,35.28,-92.36,QPSK,CRC Errors,117,52.8,9.34,2023-04-23,2024-01-01,253
ACC-12784,SITE-7349,2aec81ac,Arris TG2492,1385.77,264,-77.4,3.94,0.16,37.11,-59.24,QAM16,Overheating,20,83.1,-9.15,2020-10-18,2021-01-03,77
ACC-56084,SITE-6024,6dc0a474,Netgear CM500,1458.43,251,-47.3,5.79,1.67,10.45,-76.5,QPSK,Packet Drops,98,61.1,4.9,2021-03-09,2021-08-17,161
ACC-22507,SITE-1892,b6b3ade2,TP-Link Archer C7,1060.31,92,-52.1,5.74,0.28,26.07,-86.37,QAM64,Packet Drops,412,46.8,-8.72,2022-04-24,2022-11-15,205
ACC-46718,SITE-6828,66d8a6c0,Netgear CM500,273.01,89,-91.7,3.5,0.42,38.08,-69.94,QAM256,Packet Drops,318,40.6,-5.14,2020-07-18,2020-08-20,33
ACC-22548,SITE-4800,ef348848,Technicolor CGM4231,130.04,1,-40.1,2.12,4.85,13.22,-110.61,QAM16,Packet Drops,313,36.9,-3.77,2020-04-24,2021-02-26,308
ACC-83289,SITE-7087,379d99a8,Motorola MB7621,1476.41,212,-53.0,7.25,4.18,13.23,-65.43,QPSK,Sync Loss,263,52.4,6.02,2021-07-13,2021-11-23,133
ACC-27866,SITE-5819,f1641c76,Arris TG2492,414.54,137,-68.6,5.62,1.22,33.08,-96.46,QAM256,Sync Loss,70,60.2,-6.3,2021-10-22,2022-10-05,348
ACC-88323,SITE-8329,959d2774,Arris TG2492,452.83,189,-55.1,0.32,3.67,33.17,-105.26,QPSK,Packet Drops,7,42.3,-7.02,2022-05-28,2023-01-26,243
ACC-91176,SITE-7331,6f921333,Motorola MB7621,914.59,227,-55.4,1.18,2.97,16.11,-84.26,QAM256,Sync Loss,244,69.8,-4.74,2021-11-17,2022-09-15,302
ACC-95442,SITE-5775,3cc9777a,Arris TG2492,1235.57,296,-56.6,8.5,0.55,34.33,-116.49,QAM256,Sync Loss,438,69.1,7.8,2020-03-19,2020-11-06,232
ACC-80852,SITE-1301,21100030,Netgear CM500,1397.08,360,-54.5,0.73,3.58,15.47,-84.91,QAM16,Packet Drops,107,68.4,-4.21,2020-07-12,2021-03-08,239
ACC-32703,SITE-4761,4451bdff,Technicolor CGM4231,395.26,67,-73.6,4.92,4.13,15.01,-46.83,QPSK,Packet Drops,184,30.8,-6.9,2022-12-21,2023-07-07,198
ACC-25545,SITE-7911,adb669fe,Netgear CM500,215.94,325,-46.7,8.64,3.9,29.57,-75.85,QAM256,CRC Errors,141,70.6,5.0,2020-09-14,2021-04-06,204
ACC-99387,SITE-9373,5825e421,TP-Link Archer C7,556.53,247,-30.5,7.0,2.05,26.39,-113.12,QAM256,CRC Errors,194,51.1,6.84,2022-08-14,2023-05-30,289
ACC-30700,SITE-9957,5a1dd4b8,Arris TG2492,1030.27,336,-51.1,2.02,4.52,12.46,-42.44,QPSK,Packet Drops,335,43.9,0.13,2023-06-23,2023-11-21,151
ACC-97568,SITE-9836,ca35415a,Technicolor CGM4231,163.25,73,-98.6,1.24,1.64,26.2,-92.85,QAM64,Overheating,46,60.4,-8.74,2023-02-20,2023-09-25,217
ACC-30001,SITE-2639,397b4fc3,Technicolor CGM4231,781.29,335,-85.3,8.91,0.67,40.01,-77.1,QAM64,Overheating,100,43.5,-3.25,2021-07-20,2021-10-22,94
ACC-30211,SITE-6778,427de5bb,Arris TG2492,1019.6,26,-79.6,2.67,0.11,45.6,-65.27,QAM256,Signal Fading,440,75.9,-3.72,2023-12-03,2024-11-02,335
ACC-11203,SITE-2134,602f235d,Technicolor CGM4231,157.25,3,-71.3,3.3,4.31,39.26,-50.61,QAM16,Signal Fading,380,64.7,-2.91,2021-11-17,2021-12-16,29
ACC-80309,SITE-4158,0f7b4e1b,TP-Link Archer C7,182.23,202,-76.7,1.68,2.38,13.9,-76.79,QPSK,Packet Drops,359,79.1,6.3,2021-11-07,2021-12-08,31
ACC-82154,SITE-5948,db9c7cbf,Arris TG2492,359.25,76,-34.2,7.04,3.06,32.72,-100.77,QPSK,Packet Drops,500,46.0,3.38,2023-02-12,2023-07-05,143
ACC-17346,SITE-5090,60c03762,Arris TG2492,559.65,38,-64.9,4.32,4.11,22.45,-79.23,QAM16,Packet Drops,283,55.5,5.91,2022-06-08,2022-12-18,193
ACC-92550,SITE-9137,2c61e079,Netgear CM500,1358.43,303,-89.4,3.25,0.78,13.7,-106.55,QAM16,Sync Loss,4,73.8,5.94,2020-12-14,2021-10-26,316
ACC-48582,SITE-8730,22fabe1e,Netgear CM500,1330.89,186,-51.0,6.23,0.37,16.07,-109.58,QAM16,Signal Fading,111,67.4,8.37,2022-02-26,2022-09-30,216
ACC-88263,SITE-5585,bf0c0f3d,Arris TG2492,418.22,277,-99.6,6.93,0.7,17.51,-82.16,QAM64,Overheating,342,32.7,-4.65,2020-09-26,2021-03-07,162
ACC-69011,SITE-2738,801adf6d,TP-Link Archer C7,137.76,281,-37.1,2.11,0.71,16.58,-77.86,QAM16,Signal Fading,240,81.7,5.08,2022-12-07,2023-10-06,303
ACC-18031,SITE-3506,cdd68c1b,Motorola MB7621,1130.89,52,-46.0,1.74,3.84,47.09,-100.75,QAM256,Signal Fading,190,56.4,-1.74,2023-06-21,2023-11-26,158
ACC-78870,SITE-1875,9795e7ca,Technicolor CGM4231,1142.99,313,-90.5,2.85,2.72,16.2,-47.44,QPSK,Signal Fading,100,33.1,2.83,2023-05-07,2023-11-26,203
ACC-61771,SITE-4577,462e4c8d,Netgear CM500,777.62,35,-58.9,5.62,4.81,19.0,-117.87,QAM256,Sync Loss,455,84.2,-6.5,2021-12-03,2022-09-15,286
ACC-11944,SITE-6939,073ac6bb,Technicolor CGM4231,1058.72,296,-45.8,8.6,1.64,46.35,-91.5,QAM16,CRC Errors,197,74.0,3.47,2023-01-21,2023-07-08,168
ACC-73079,SITE-5541,71603501,Motorola MB7621,831.26,283,-62.2,9.27,2.06,11.28,-74.99,QAM16,CRC Errors,443,84.6,3.25,2023-10-29,2024-06-24,239
ACC-39197,SITE-6803,820d8ff1,Netgear CM500,1143.73,263,-71.2,7.92,0.21,10.65,-95.06,QAM16,CRC Errors,177,60.7,-9.56,2021-11-20,2022-11-01,346
ACC-92444,SITE-1805,1708a82b,Technicolor CGM4231,730.36,29,-68.6,7.82,0.14,44.74,-63.11,QPSK,Overheating,83,32.5,-1.88,2022-09-19,2023-03-18,180
ACC-58968,SITE-5100,5ac639e5,Netgear CM500,1070.05,295,-55.4,1.27,3.87,21.82,-85.21,QAM64,Signal Fading,189,53.0,-8.45,2020-10-16,2021-07-17,274
ACC-15766,SITE-9960,9c25748c,Technicolor CGM4231,157.04,82,-62.6,4.59,4.74,32.33,-95.34,QPSK,Sync Loss,61,63.8,2.07,2020-10-04,2021-06-22,261
ACC-85731,SITE-5219,069f03d2,Netgear CM500,315.27,355,-96.1,5.03,0.84,13.98,-84.14,QPSK,Overheating,387,60.2,-3.14,2020-04-26,2021-01-15,264
ACC-12318,SITE-9824,04910506,TP-Link Archer C7,975.08,280,-85.1,3.81,4.73,46.07,-70.53,QAM16,Sync Loss,11,35.0,1.82,2021-10-21,2022-04-30,191
ACC-86595,SITE-7583,22adebcd,Arris TG2492,579.51,179,-42.0,4.98,3.87,37.36,-91.72,QAM16,Overheating,266,64.7,-3.66,2023-12-09,2024-06-17,191
ACC-43475,SITE-1806,5a1eb353,Motorola MB7621,409.81,116,-63.4,8.67,3.83,24.41,-53.63,QAM256,Packet Drops,12,61.5,3.85,2022-02-07,2022-02-14,7
ACC-77343,SITE-4742,6825b87f,TP-Link Archer C7,791.34,149,-84.8,1.73,1.74,10.01,-107.62,QAM16,Packet Drops,370,58.2,0.74,2023-10-09,2023-12-16,68
ACC-15731,SITE-1341,c23347b2,Technicolor CGM4231,1143.25,266,-56.4,3.66,2.66,20.02,-68.0,QAM64,Overheating,364,53.7,9.79,2020-11-20,2021-07-21,243
ACC-14146,SITE-9192,2237bcfc,Motorola MB7621,404.47,130,-47.7,5.9,0.11,14.6,-49.21,QAM256,CRC Errors,31,64.8,9.45,2023-10-27,2023-11-10,14
ACC-67335,SITE-8449,2783991e,Motorola MB7621,929.81,289,-86.5,6.33,0.09,22.29,-113.62,QAM16,Signal Fading,484,79.8,9.8,2022-06-10,2022-07-29,49
ACC-54740,SITE-8129,300c6f55,Technicolor CGM4231,930.48,151,-88.3,3.61,3.3,13.78,-117.1,QAM16,Packet Drops,490,66.3,8.2,2020-09-16,2021-07-20,307
ACC-17575,SITE-6245,ef951466,Netgear CM500,1336.02,105,-91.6,0.27,0.73,19.07,-103.38,QAM16,Overheating,448,68.9,-7.14,2021-04-08,2021-07-24,107
ACC-10006,SITE-2399,26422ea1,TP-Link Archer C7,852.01,251,-70.7,6.53,3.55,29.46,-107.04,QAM64,Overheating,434,76.6,2.29,2020-03-10,2020-03-30,20
ACC-71734,SITE-7693,d13c4873,Technicolor CGM4231,688.11,176,-60.5,8.96,2.24,14.83,-81.15,QAM64,Signal Fading,285,35.9,-5.91,2021-09-18,2022-07-05,290
ACC-60878,SITE-8949,42557a49,Technicolor CGM4231,557.81,138,-55.0,5.13,2.82,14.7,-67.34,QPSK,Sync Loss,165,37.0,-6.97,2023-03-28,2023-11-23,240
ACC-87230,SITE-1070,1502ee16,Technicolor CGM4231,1202.14,173,-68.3,1.46,1.72,15.9,-65.15,QAM64,Sync Loss,128,44.1,4.92,2022-10-29,2023-06-03,217
ACC-81894,SITE-9697,82da8169,Arris TG2492,475.81,251,-79.1,5.59,0.03,43.15,-90.2,QPSK,Overheating,281,68.9,-5.43,2021-07-08,2021-12-04,149
ACC-58402,SITE-1993,ad63d720,Netgear CM500,161.6,253,-93.6,7.0,0.35,19.37,-81.74,QPSK,Packet Drops,464,67.2,-6.54,2023-03-26,2024-03-23,363
ACC-24440,SITE-6485,caba9270,Netgear CM500,1427.55,217,-53.6,1.93,4.45,37.72,-93.09,QAM16,Sync Loss,210,71.0,-3.21,2020-05-26,2020-12-06,194
ACC-74725,SITE-8026,14c50b85,Netgear CM500,924.39,319,-84.5,0.65,2.64,34.52,-86.18,QAM16,Overheating,21,49.8,-5.13,2022-04-27,2022-09-19,145
ACC-70366,SITE-2923,210aadd0,Motorola MB7621,371.18,321,-54.8,5.26,3.21,14.18,-91.85,QPSK,Packet Drops,196,59.5,8.64,2023-04-07,2023-08-26,141
ACC-64205,SITE-6839,b705ce04,TP-Link Archer C7,1489.59,323,-60.7,0.42,1.9,41.34,-67.79,QPSK,Overheating,291,67.3,-7.31,2023-10-17,2024-08-18,306
ACC-84960,SITE-5604,6e91bf26,Motorola MB7621,682.43,67,-92.9,4.75,3.13,30.32,-105.42,QPSK,Sync Loss,440,64.1,6.89,2023-11-18,2024-08-29,285
ACC-75500,SITE-5042,c3a35a12,TP-Link Archer C7,479.32,178,-68.2,6.31,4.84,44.48,-79.49,QAM64,CRC Errors,84,48.6,7.6,2023-10-04,2024-01-16,104
ACC-33770,SITE-3959,3517e2d7,Technicolor CGM4231,228.94,3,-86.2,1.27,0.27,25.27,-109.02,QPSK,Overheating,141,42.5,5.21,2022-09-05,2023-03-13,189
ACC-46124,SITE-7477,27eb5871,Netgear CM500,808.84,157,-30.4,4.4,4.41,13.82,-77.97,QPSK,Signal Fading,257,38.1,2.95,2020-07-22,2021-06-16,329
ACC-69070,SITE-3403,97597472,Motorola MB7621,276.92,135,-77.7,9.14,3.28,28.93,-111.97,QPSK,Overheating,439,55.5,8.63,2023-06-23,2024-04-09,291
ACC-34325,SITE-9848,3d0814d0,TP-Link Archer C7,878.97,319,-41.8,6.32,0.52,38.8,-73.58,QAM256,Signal Fading,494,41.7,-3.62,2022-12-17,2023-07-07,202
ACC-82455,SITE-4442,4b06562d,TP-Link Archer C7,288.82,270,-89.6,2.48,1.89,25.95,-103.88,QPSK,Packet Drops,316,56.2,-4.02,2023-11-09,2024-02-25,108
ACC-62558,SITE-7901,05ca7f71,TP-Link Archer C7,357.27,187,-63.3,9.36,2.0,41.44,-114.93,QAM256,Packet Drops,215,59.3,4.29,2022-07-27,2023-05-10,287
ACC-95727,SITE-1656,533e7155,Motorola MB7621,339.71,350,-46.4,6.57,4.49,36.28,-44.77,QPSK,Signal Fading,423,62.0,-1.05,2020-04-07,2020-04-30,23
ACC-35840,SITE-3196,99651512,Netgear CM500,209.39,125,-42.3,9.34,4.41,36.22,-99.19,QAM16,Signal Fading,334,61.5,-3.61,2020-01-19,2020-12-23,339
ACC-21162,SITE-3715,c35d344c,Arris TG2492,757.23,219,-36.4,5.57,2.83,29.84,-81.59,QAM256,Packet Drops,195,53.0,7.11,2022-07-29,2022-11-07,101
